City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tufanbeyli,38.2633,36.2206,275.49,35,0,0.85,TR,1709073115
1,blackmans bay,-43.0167,147.3167,292.33,66,100,1.72,AU,1709073116
2,howard springs,-12.497,131.047,301.41,95,62,2.79,AU,1709073117
3,fisterra,42.9049,-9.2629,283.01,76,100,3.98,ES,1709073118
4,port-aux-francais,-49.35,70.2167,281.36,96,98,11.17,TF,1709073119
5,hasaki,35.7333,140.8333,276.37,48,1,6.7,JP,1709073119
6,afaahiti,-17.75,-149.2833,302.07,77,38,3.45,PF,1709073120
7,puerto natales,-51.7236,-72.4875,285.9,74,100,4.72,CL,1709073121
8,keflavik,64.0049,-22.5624,273.39,80,75,5.14,IS,1709073122
9,talnakh,69.4865,88.3972,261.6,94,100,5.87,RU,1709073124
10,nefta,33.8731,7.8777,286.29,48,21,7.05,TN,1709073125
11,edinburgh of the seven seas,-37.0676,-12.3116,288.48,63,79,4.96,SH,1709073126
12,gadzhiyevo,69.2551,33.3362,266.88,90,77,6.34,RU,1709073127
13,kholmsk,47.0511,142.0569,260.09,77,18,2.47,RU,1709073128
14,prineville,44.2999,-120.8345,279.21,53,75,2.57,US,1709073129
15,hotan,37.0997,79.9269,273.52,58,87,1.53,CN,1709073130
16,jamestown,42.097,-79.2353,286.92,88,100,3.58,US,1709072853
17,lai chau,22.3997,103.4517,284.94,95,7,0.84,VN,1709073132
18,udachny,66.4167,112.4,255.62,84,100,2.43,RU,1709073133
19,kapuskasing,49.4169,-82.4331,271.2,93,100,4.12,CA,1709073134
20,ilulissat,69.2167,-51.1,257.16,85,20,0.51,GL,1709073135
21,bethel,41.3712,-73.414,285.73,70,0,5.14,US,1709072963
22,al hazm,16.1641,44.7769,295.36,54,57,3.7,YE,1709073137
23,cole harbour,44.6724,-63.4751,275.89,96,100,2.06,CA,1709073138
24,port lincoln,-34.7333,135.8667,293.45,74,62,10.39,AU,1709073140
25,acarau,-2.8856,-40.12,297.52,95,100,2.8,BR,1709073142
26,iqaluit,63.7506,-68.5145,245.2,68,75,3.6,CA,1709073143
27,la passe,45.5549,-0.8967,280.28,81,79,5.26,FR,1709073144
28,walvis bay,-22.9575,14.5053,290.68,88,1,3.42,NA,1709072602
29,trashi yangtse,27.6116,91.498,279.51,85,81,0.49,BT,1709073146
30,grytviken,-54.2811,-36.5092,272.01,68,8,3.73,GS,1709073147
31,vorgashor,67.5833,63.95,268.99,96,100,5.34,RU,1709073148
32,papatowai,-46.5619,169.4708,285.14,86,98,1.88,NZ,1709073149
33,adamstown,-25.066,-130.1015,299.45,74,88,3.27,PN,1709073150
34,leninskoye,41.7589,69.3864,271.0,89,99,1.61,KZ,1709073151
35,khanty-mansiysk,61.0042,69.0019,271.21,69,0,4.0,RU,1709073152
36,morehead city,34.7229,-76.726,291.16,86,100,5.66,US,1709073153
37,bilibino,68.0546,166.4372,243.83,97,100,1.01,RU,1709073154
38,hawaiian paradise park,19.5933,-154.9731,297.06,82,100,1.34,US,1709073155
39,albany,42.6001,-73.9662,288.38,57,61,1.79,US,1709073112
40,monrovia,6.3005,-10.7969,300.15,86,60,3.41,LR,1709073157
41,puerto ayora,-0.7393,-90.3518,303.13,81,85,6.26,EC,1709073158
42,tsiombe,-25.3,45.4833,298.87,86,9,0.73,MG,1709072568
43,akrehamn,59.2667,5.1833,278.38,93,100,5.66,NO,1709073159
44,margaret river,-33.95,115.0667,286.36,79,100,2.66,AU,1709073160
45,hadzici,43.8222,18.2067,285.78,58,20,6.69,BA,1709073161
46,baza,37.4907,-2.7726,279.58,60,25,8.41,ES,1709073162
47,waitangi,-43.9535,-176.5597,290.27,91,97,2.24,NZ,1709073163
48,laojunmiao,39.8333,97.7333,264.71,95,100,1.49,CN,1709073163
49,hadibu,12.65,54.0333,298.09,72,74,2.74,YE,1709073164
50,invercargill,-46.4,168.35,285.38,85,100,2.24,NZ,1709073165
51,st. john's,47.5649,-52.7093,274.2,85,75,10.29,CA,1709072906
52,pechora,65.1472,57.2244,273.07,98,100,4.92,RU,1709072917
53,howrah,22.5892,88.3103,295.15,68,40,1.54,IN,1709073168
54,qaqortoq,60.7167,-46.0333,268.82,96,100,2.83,GL,1709072959
55,majene,-3.5403,118.9707,299.16,84,82,1.91,ID,1709073171
